# Acesta este un export al documentului cu Statistica Pe Candidați de
# pe site-ul BEC oficial, de aici http://www.becparlamentare2012.ro/statistici%20rezultate%20finale.html
#
# Acest fișier este folosit de results_2012_import.php pentru a asocia
# un număr de voturi cu fiecare candidat în parte și a le adăuga în baza
# noastră de date în tabelele proprii.
#
# NUME,NumeCompetitor,Nr circumscriptie,Nume circ,Colegiu senat,Colegiu Deputati,Total voturi pe colegiu,Total alegatori prezenti,Voturi Obtinute de candidat,Mandat Atribuit,Procent
#
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,19,0,0.08%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,30,0,0.12%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,43,0,0.18%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,13,0,0.05%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,10,0,0.04%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,9,24059,25078,12,0,0.05%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,8,19778,20744,33,0,0.17%
CURELEA IOAN COSMIN,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,9,24059,25078,2243,0,9.32%
HREBENCIUC VIOREL,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,9,24059,25078,16051,1,66.72%
HEGYELI ATTILA-KÁROLY,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,9,24059,25078,56,0,0.23%
ROŞCA ADRIAN,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,9,24059,25078,319,0,1.33%
AIOANEI CRISTINEL-DUMITRU,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,9,24059,25078,4955,0,20.60%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,8,19778,20744,25,0,0.13%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,8,19778,20744,58,0,0.29%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,17,0,0.09%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,8,19778,20744,19,0,0.10%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,8,19778,20744,23,0,0.12%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,8,19778,20744,20,0,0.10%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,12,0,0.06%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,22,0,0.11%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,8,19778,20744,12,0,0.06%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,29,0,0.15%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,8,19778,20744,42,0,0.21%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,32,0,0.16%
OLTEAN PETER,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,8,19778,20744,372,0,1.88%
GĂBOREL CONSTANTIN,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,8,19778,20744,223,0,1.13%
ŞENDREA IULIAN-RĂZVAN,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,8,19778,20744,4163,0,21.05%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,16,0,0.08%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,36,0,0.18%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,49,0,0.25%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,7,26761,27981,40,0,0.15%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,7,26761,27981,75,0,0.28%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,39,0,0.20%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,4,BACĂU,,8,19778,20744,12,0,0.06%
CUCUIAN CRISTIAN,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,8,19778,20744,1050,0,5.31%
IANCU IULIAN,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,8,19778,20744,13474,1,68.13%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,21,0,0.08%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,21,0,0.08%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,7,26761,27981,27,0,0.10%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,19,0,0.07%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,7,26761,27981,41,0,0.15%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,58,0,0.22%
MÁTYÁS-JÓZSA TIMEA-ILDIKÓ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,7,26761,27981,41,0,0.15%
HULUŢĂ GHIORGHE,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,7,26761,27981,592,0,2.21%
SMARANDACHE MIRON ALEXANDRU,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,7,26761,27981,5990,1,22.38%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,35,0,0.13%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,26,0,0.10%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,62,0,0.23%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,7,26761,27981,19,0,0.07%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,7,26761,27981,133,0,0.50%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,29,0,0.11%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,10,0,0.04%
BUSUIOC IULIAN,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,7,26761,27981,1860,0,6.95%
PALĂR IONEL,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,7,26761,27981,17596,1,65.75%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,6,0,0.03%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,9,0,0.04%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,6,22748,23568,5,0,0.02%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,7,26761,27981,29,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,7,26761,27981,16,0,0.06%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,7,26761,27981,21,0,0.08%
CRISTIA VASILE,PARTIDUL ROMÂNIA MARE,4,BACĂU,,6,22748,23568,293,0,1.29%
NICULESCU CĂTĂLINA-TEODORA,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,6,22748,23568,568,0,2.50%
GIOACĂŞ JĂNICĂ,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,6,22748,23568,2542,0,11.17%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,18,0,0.08%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,9,0,0.04%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,45,0,0.20%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,6,22748,23568,24,0,0.11%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,14,0,0.06%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,9,0,0.04%
VREME VALERIAN,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,6,22748,23568,5543,1,24.37%
AVRAM CONSTANTIN,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,6,22748,23568,13428,1,59.03%
MAJOR LORÁNT JANOS,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,6,22748,23568,38,0,0.17%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,6,22748,23568,37,0,0.16%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,6,22748,23568,13,0,0.06%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,23,0,0.10%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,6,22748,23568,11,0,0.05%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,6,22748,23568,30,0,0.13%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,6,22748,23568,7,0,0.03%
MELINTE ION,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,5,20144,21389,5593,1,27.77%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,17,0,0.08%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,56,0,0.28%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,36,0,0.16%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,6,22748,23568,28,0,0.12%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,6,22748,23568,12,0,0.05%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,49,0,0.24%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,20,0,0.10%
BANU MIHAI,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,5,20144,21389,2467,0,12.25%
MARCU VIORICA,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,5,20144,21389,10976,1,54.49%
LANTOŞ TIBERIU-SEBASTIAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,5,20144,21389,28,0,0.14%
ŞTEFAN DANIEL-DRAGOŞ,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,5,20144,21389,390,0,1.94%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,5,20144,21389,65,0,0.32%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,22,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,5,20144,21389,33,0,0.16%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,5,20144,21389,40,0,0.20%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,5,20144,21389,19,0,0.09%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,5,20144,21389,65,0,0.32%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,19,0,0.09%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,5,20144,21389,18,0,0.09%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,22,0,0.11%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,5,20144,21389,53,0,0.26%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,51,0,0.25%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,5,20144,21389,29,0,0.14%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,21,0,0.10%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,48,0,0.24%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,60,0,0.30%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,14,0,0.07%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,91,0,0.45%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,5,20144,21389,21,0,0.10%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,18,0,0.09%
OCHENATU-NECHIFOR EUGEN,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,4,20188,21206,1762,0,8.73%
ŞOVA LUCIAN,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,4,20188,21206,13229,1,65.53%
SOLOMON ADRIAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,4,20188,21206,60,0,0.30%
CONSTANTINESCU EDUARD-CĂTĂLIN,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,4,20188,21206,391,0,1.94%
UNGUREANU IRINA,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,4,20188,21206,4173,0,20.67%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,22,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,4,20188,21206,18,0,0.09%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,4,20188,21206,28,0,0.14%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,4,20188,21206,17,0,0.08%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,4,20188,21206,64,0,0.32%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,32,0,0.16%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,4,20188,21206,26,0,0.13%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,23,0,0.11%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,4,20188,21206,26,0,0.13%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,43,0,0.21%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,4,20188,21206,24,0,0.12%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,4,20188,21206,73,0,0.36%
CONDURĂŢEANU FLORIN-IOAN,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,3,23241,24227,4466,0,19.22%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,31,0,0.13%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,15,0,0.06%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,41,0,0.18%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,14,0,0.06%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,4,20188,21206,16,0,0.08%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,31,0,0.13%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,14,0,0.06%
BERCA GABRIEL,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,3,23241,24227,4412,0,18.98%
CIUBOTARU LUCIAN-MANUEL,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,3,23241,24227,12911,1,55.55%
ERDEY ZSOLT,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,3,23241,24227,46,0,0.20%
COŞEA DUMITRU-GHEORGHE-MIRCEA,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,3,23241,24227,900,0,3.87%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,3,23241,24227,52,0,0.22%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,38,0,0.16%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,3,23241,24227,27,0,0.12%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,3,23241,24227,35,0,0.15%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,3,23241,24227,16,0,0.07%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,3,23241,24227,58,0,0.25%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,8,0,0.03%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,3,23241,24227,16,0,0.07%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,29,0,0.12%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,3,23241,24227,20,0,0.09%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,3,23241,24227,27,0,0.12%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,3,23241,24227,34,0,0.15%
BUNEA CRISTIAN,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,2,21829,22558,1028,0,4.71%
CAUTIŞ VASILE,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,2,21829,22558,3051,0,13.98%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,8,0,0.04%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,4,0,0.02%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,63,0,0.29%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,5,0,0.02%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,15,0,0.07%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,11,0,0.05%
POPESCU ADRIAN,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,2,21829,22558,3701,0,16.95%
NECULA COSMIN,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,2,21829,22558,13045,1,59.76%
BORSI IMRE-LORÁNT,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,2,21829,22558,39,0,0.18%
HERCIU MARINEL,PARTIDUL ROMÂNIA MARE,4,BACĂU,,2,21829,22558,514,0,2.35%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,2,21829,22558,38,0,0.17%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,111,0,0.51%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,2,21829,22558,10,0,0.05%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,2,21829,22558,18,0,0.08%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,2,21829,22558,12,0,0.05%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,2,21829,22558,33,0,0.15%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,6,0,0.03%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,2,21829,22558,15,0,0.07%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,21,0,0.10%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,2,21829,22558,19,0,0.09%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,2,21829,22558,17,0,0.08%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,2,21829,22558,45,0,0.21%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,1,21844,22632,6,0,0.03%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,1,21844,22632,5,0,0.02%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,1,21844,22632,39,0,0.18%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,1,21844,22632,15,0,0.07%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,1,21844,22632,2,0,0.01%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,1,21844,22632,14,0,0.06%
SPRIANU MIRCEA,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,1,21844,22632,3044,0,13.94%
MARCU NICU,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,1,21844,22632,11941,1,54.66%
PETŐ DALMA CSILLA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,1,21844,22632,46,0,0.21%
MUNTEANU IOAN,PARTIDUL ROMÂNIA MARE,4,BACĂU,,1,21844,22632,530,0,2.43%
MANOLACHE CRISTINEL,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,1,21844,22632,1819,0,8.33%
ANGELA BOGEA,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,1,21844,22632,4139,0,18.95%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,1,21844,22632,10,0,0.05%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,1,21844,22632,13,0,0.06%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,1,21844,22632,12,0,0.05%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,1,21844,22632,41,0,0.19%
